Coordinate,Rod_Number,Broken,Recessed,Excessed,Glue_on_Fibers
2_I_4Q,,,,,
2_I_5S,,,,,
2_I_6S,,,,,
2_I_7S,,,,,
2_I_8S,,,,,
2_I_9Q,,,,,
2_I_10Q,,,,,
2_I_11Q,,,,,
2_I_12Q,,,,,
2_I_13S,,,,,
2_I_14S,,,,,
2_I_15S,,,,,
2_I_16S,,,,,
2_I_17Q,,,,,
2_I_18Q,,,,,
2_I_19Q,,,,,
2_I_20Q,,,,,
2_I_21S,,,,,
2_I_22S,,,,,
2_I_23S,,,,,
2_I_24S,,,,,
2_I_25Q,,,,,
2_I_26Q,,,,,
2_I_27Q,,,,,
2_I_28Q,,,,,
2_I_29S,,,,,
2_I_30S,,,,,
2_I_31S,,,,,
2_I_32S,,,,,
2_J_1P,,,,,
2_J_2P,,,,,
2_J_3P,,,,,
2_J_4P,,,,,
2_J_5S,,,,,
2_J_6S,,,,,
2_J_7S,,,,,
2_J_8S,,,,,
2_J_9P,,,,,
2_J_10P,,,,,
2_J_11P,,,,,
2_J_12P,,,,,
2_J_13S,,,,,
2_J_14S,,,,,
2_J_15S,,,,,
2_J_16S,,,,,
2_J_17P,,,,,
2_J_18P,,,,,
2_J_19P,,,,,
2_J_20P,,,,,
2_J_21S,,,,,
2_J_22S,,,,,
2_J_23S,,,,,
2_J_24S,,,,,
2_J_25P,,,,,
2_J_26P,,,,,
2_J_27P,,,,,
2_J_28P,,,,,
2_J_29S,,,,,
2_J_30S,,,,,
2_J_31S,,,,,
2_J_32S,,,,,
2_K_1P,,,,,
2_K_2P,,,,,
2_K_3P,,,,,
2_K_4Q,,,,,
2_K_5S,,,,,
2_K_6S,,,,,
2_K_7S,,,,,
2_K_8S,,,,,
2_K_9P,,,,,
2_K_10P,,,,,
2_K_11Q,,,,,
2_K_12Q,,,,,
2_K_13S,,,,,
2_K_14S,,,,,
2_K_15S,,,,,
2_K_16S,,,,,
2_K_17P,,,,,
2_K_18P,,,,,
2_K_19Q,,,,,
2_K_20Q,,,,,
2_K_21S,,,,,
2_K_22S,,,,,
2_K_23S,,,,,
2_K_24S,,,,,
2_K_25P,,,,,
2_K_26P,,,,,
2_K_27Q,,,,,
2_K_28Q,,,,,
2_K_29S,,,,,
2_K_30S,,,,,
2_K_31S,,,,,
2_K_32S,,,,,
2_L_1P,,,,,
2_L_2P,,,,,
2_L_3P,,,,,
2_L_4P,,,,,
2_L_5S,,,,,
2_L_6S,,,,,
2_L_7S,,,,,
2_L_8S,,,,,
2_L_9P,,,,,
2_L_10P,,,,,
2_L_11P,,,,,
2_L_12P,,,,,
2_L_13S,,,,,
2_L_14S,,,,,
2_L_15S,,,,,
2_L_16S,,,,,
2_L_17P,,,,,
2_L_18P,,,,,
2_L_19P,,,,,
2_L_20P,,,,,
2_L_21S,,,,,
2_L_22S,,,,,
2_L_23S,,,,,
2_L_24S,,,,,
2_L_25P,,,,,
